,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
0,-118.39,34.12,29.0,6447.0,1012.0,2184.0,960.0,8.2816,0.5777570702056607,<1H OCEAN
1,-120.42,34.89,24.0,2020.0,307.0,855.0,283.0,5.0099,0.181806980649462,<1H OCEAN
2,-118.45,34.25,36.0,1453.0,270.0,808.0,275.0,4.3839,0.6548389511273375,<1H OCEAN
3,-118.1,33.91,35.0,1653.0,325.0,1072.0,301.0,3.2708,0.7693877216739393,<1H OCEAN
4,-117.07,32.77,38.0,3779.0,614.0,1495.0,614.0,4.3529,1.2172419423238667,NEAR OCEAN
5,-118.04,33.93,35.0,1805.0,387.0,1505.0,366.0,4.1667,0.7606954032809575,<1H OCEAN
6,-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,-1.3352523581901332,NEAR BAY
7,-122.26,37.46,26.0,5067.0,750.0,1996.0,728.0,7.0001,-1.2993341000030398,NEAR OCEAN
8,-122.03,37.36,16.0,2697.0,803.0,1369.0,723.0,4.4699,-1.2072654632313917,<1H OCEAN
9,-117.61,33.43,24.0,2303.0,399.0,851.0,379.0,3.9875,0.9877447544079968,NEAR OCEAN
10,-118.32,34.06,36.0,3239.0,722.0,1383.0,612.0,4.5918,0.6061819504677698,<1H OCEAN
11,-121.23,37.96,44.0,2204.0,473.0,1277.0,435.0,1.5539,-0.8492318659756164,INLAND
12,-121.2,37.81,26.0,395.0,74.0,193.0,72.0,7.3718,-0.9803160238100191,INLAND
13,-121.91,37.24,24.0,5046.0,1001.0,2449.0,968.0,4.7118,-1.1894312237699287,<1H OCEAN
14,-118.48,34.28,35.0,2132.0,368.0,1128.0,341.0,5.3107,0.5414391651959007,<1H OCEAN
15,-117.65,34.1,44.0,1526.0,337.0,831.0,326.0,3.0284,0.9480298514055776,INLAND
16,-121.59,39.82,12.0,1958.0,369.0,875.0,354.0,2.3507,-1.080127817770815,INLAND
17,-118.97,35.41,36.0,1896.0,315.0,937.0,303.0,3.996,0.32747824751116744,INLAND
18,-118.06,33.88,17.0,7187.0,1073.0,3844.0,1068.0,6.5901,0.6730228815586347,<1H OCEAN
19,-118.39,33.85,24.0,4373.0,871.0,1830.0,824.0,5.7128,0.6490440721986842,<1H OCEAN
20,-117.98,33.73,18.0,3833.0,,2192.0,996.0,3.4679,0.7807776561199166,<1H OCEAN
21,-118.32,33.79,35.0,2924.0,658.0,1675.0,602.0,3.8287,0.6636311812259871,<1H OCEAN
22,-120.27,34.72,14.0,1289.0,277.0,693.0,237.0,3.2569,-0.23322624468903108,<1H OCEAN
23,-119.65,36.33,52.0,1257.0,257.0,624.0,243.0,2.3523,-0.07666460190968113,INLAND
24,-119.86,36.82,12.0,1488.0,253.0,675.0,223.0,4.7622,-0.10084323468096482,INLAND
25,-119.23,35.78,8.0,1612.0,343.0,1230.0,330.0,2.1806,0.19644404552960043,INLAND
26,-118.35,34.16,45.0,1390.0,281.0,538.0,270.0,4.2212,0.6671280909243131,<1H OCEAN
27,-120.94,37.68,4.0,13315.0,2424.0,6420.0,2289.0,4.2471,-0.8970895729898534,INLAND
28,-118.99,35.24,40.0,282.0,59.0,213.0,71.0,2.35,0.27762230638360136,INLAND
29,-121.11,37.47,12.0,2263.0,410.0,913.0,330.0,3.5795,-0.6684915904249839,INLAND
30,-118.02,34.08,28.0,2769.0,631.0,2452.0,581.0,2.6071,0.9659640025727084,INLAND
31,-120.17,39.33,10.0,614.0,141.0,195.0,95.0,0.9283,-0.5395055784095772,INLAND
32,-118.35,34.02,34.0,3978.0,1073.0,2725.0,1035.0,1.7622,0.6646802541354849,<1H OCEAN
33,-123.34,39.5,15.0,2342.0,535.0,1064.0,433.0,1.8967,-1.3779146565097138,INLAND
34,-122.24,40.18,39.0,2191.0,493.0,1307.0,499.0,1.6483,-1.2124109160732148,INLAND
35,-122.03,37.36,28.0,2490.0,345.0,948.0,361.0,6.4913,-1.1759930993577907,<1H OCEAN
36,-117.09,32.58,12.0,2565.0,567.0,1785.0,545.0,3.0273,1.21279587142171,NEAR OCEAN
37,-118.33,34.18,45.0,1552.0,315.0,785.0,316.0,3.7411,0.6270135410992276,<1H OCEAN
38,-121.44,38.53,37.0,1951.0,432.0,1089.0,411.0,2.3272,-0.9138747395418207,INLAND
39,-119.7,34.43,35.0,1402.0,369.0,654.0,385.0,2.6205,-0.04139576980941905,<1H OCEAN
40,-117.15,34.22,10.0,1039.0,174.0,317.0,109.0,7.2371,1.191264898850586,INLAND
41,-118.37,33.87,18.0,2516.0,485.0,1128.0,433.0,5.0114,0.6930052226919274,<1H OCEAN
